Date,Activations,Unique Summits,Summits
2003-04-19,1,1,GM/WS-042
2003-04-20,1,1,GM/ES-010
2003-04-27,2,1,GM/SS-280
2003-05-03,1,1,GM/SS-029
2003-05-05,1,1,GM/ES-029
2003-05-10,2,2,"GM/ES-018, GM/SS-037"
2003-05-15,1,1,GM/CS-029
2003-05-17,1,1,GM/ES-023
2003-05-24,2,2,"GM/ES-001, GM/SS-007"
2003-05-26,1,1,GM/SS-004
2003-05-30,2,1,GM/SS-064
2003-06-01,2,2,"GM/SS-005, GM/SS-009"
2003-06-10,1,1,GM/SS-056
2003-06-14,2,2,"GM/ES-008, GM/SS-165"
2003-06-21,2,1,GM/CS-065
2003-06-22,1,1,GM/SS-260
2003-06-23,1,1,GM/CS-017
2003-06-25,3,3,"GM/CS-003, GM/CS-009, GM/CS-029"
2003-06-28,1,1,GM/ES-009
2003-06-29,1,1,GM/ES-010
2003-07-02,1,1,GM/SS-003
2003-07-05,4,4,"GM/CS-016, GM/CS-019, GM/SS-056, GM/SS-123"
2003-07-09,2,1,GM/ES-012
2003-07-12,1,1,GM/CS-023
2003-07-17,2,2,"GM/SS-006, GM/SS-016"
2003-07-24,1,1,GM/SS-222
2003-07-26,1,1,GM/ES-005
2003-07-27,3,3,"GM/CS-097, GM/SS-008, GM/SS-010"
2003-07-28,1,1,GM/CS-121
2003-07-29,1,1,GM/CS-115
2003-07-30,3,3,"GM/ES-021, GM/ES-027, GM/SS-016"
2003-08-01,1,1,GM/ES-084
2003-08-02,2,2,"GM/SS-007, GM/SS-014"
2003-08-03,1,1,GM/CS-050
2003-08-04,1,1,GM/SS-011
2003-08-09,3,3,"GM/CS-002, GM/CS-030, GM/CS-038"
2003-08-10,1,1,GM/WS-007
2003-08-11,2,2,"GM/CS-010, GM/CS-015"
2003-08-12,1,1,GM/SS-013
2003-08-16,3,3,"GM/CS-018, GM/CS-025, GM/ES-004"
2003-08-23,2,2,"GM/CS-030, GM/WS-001"
2003-08-24,1,1,GM/WS-029
2003-08-25,1,1,GM/WS-044
2003-08-30,1,1,GM/SS-012
2003-09-04,1,1,GM/SS-071
2003-09-10,3,3,"GM/SS-054, GM/SS-068, GM/SS-080"
2003-09-12,1,1,GM/SS-003
2003-09-13,1,1,GM/SS-059
2003-09-16,2,1,GM/SS-011
2003-09-20,4,4,"GM/CS-050, GM/ES-012, GM/WS-017, GM/WS-019"
2003-09-27,10,7,"GM/CS-001, GM/CS-004, GM/CS-026, GM/NS-005, GM/WS-011, GM/WS-049, GM/WS-087"
2003-09-28,3,2,"GM/CS-008, GM/SS-034"
2003-10-04,6,6,"GM/SS-001, GM/SS-002, GM/SS-030, GM/WS-017, GM/WS-019, GM/WS-140"
2003-10-08,1,1,GM/CS-008
2003-10-11,4,4,"GM/ES-015, GM/SI-019, GM/WS-037, GM/WS-058"
2003-10-12,2,2,"GM/CS-065, GM/SI-067"
2003-10-13,1,1,GM/SI-016
2003-10-15,1,1,GM/SS-003
2003-10-18,5,5,"GM/SS-003, GM/SS-005, GM/SS-008, GM/SS-009, GM/SS-010"
2003-10-19,2,2,"GM/SS-133, GM/WS-079"
2003-10-20,1,1,GM/CS-025
2003-10-23,2,1,GM/SS-272
2003-10-24,1,1,GM/SS-216
2003-10-25,1,1,GM/SS-251
2003-10-26,3,3,"GM/SS-240, GM/WS-090, GM/WS-165"
2003-11-01,2,2,"GM/SS-017, GM/WS-003"
2003-11-08,1,1,GM/CS-002
2003-11-16,1,1,GM/WS-038
2003-11-22,3,3,"GM/CS-036, GM/ES-008, GM/ES-019"
2003-11-23,1,1,GM/ES-012
2003-12-05,2,2,"GM/SS-125, GM/SS-167"
2003-12-06,1,1,GM/WS-206
2003-12-07,3,3,"GM/CS-012, GM/CS-044, GM/SS-129"
2003-12-14,1,1,GM/WS-146
2003-12-19,2,2,"GM/SS-082, GM/SS-100"
2003-12-21,1,1,GM/WS-173
2003-12-22,1,1,GM/SS-115
2003-12-23,1,1,GM/ES-061
2003-12-26,1,1,GM/ES-018
2003-12-27,1,1,GM/ES-059
2003-12-28,1,1,GM/SS-131
2003-12-29,1,1,GM/WS-177
2003-12-30,3,3,"GM/ES-027, GM/SS-158, GM/WS-023"
2003-12-31,1,1,GM/SS-163
2004-01-02,2,2,"GM/CS-034, GM/SS-064"
2004-01-03,2,2,"GM/ES-021, GM/WS-302"
2004-01-12,1,1,GM/SS-059
2004-01-17,3,3,"GM/SS-056, GM/SS-123, GM/WS-125"
2004-01-24,2,2,"GM/CS-083, GM/WS-271"
2004-01-25,4,4,"GM/CS-055, GM/CS-071, GM/SS-052, GM/SS-144"
2004-01-27,1,1,GM/WS-013
2004-01-29,2,2,"GM/NS-105, GM/SS-037"
2004-01-31,1,1,GM/WS-032
2004-02-08,3,3,"GM/CS-050, GM/WS-156, GM/WS-169"
2004-02-12,2,2,"GM/SS-070, GM/SS-164"
2004-02-14,3,3,"GM/WS-150, GM/WS-192, GM/WS-249"
2004-02-15,5,5,"GM/ES-039, GM/ES-054, GM/SS-171, GM/WS-079, GM/WS-096"
2004-02-19,2,2,"GM/SS-049, GM/SS-077"
2004-02-20,2,1,GM/SS-125
2004-02-21,3,3,"GM/CS-022, GM/CS-028, GM/CS-078"
2004-02-22,1,1,GM/CS-079
2004-02-28,2,2,"GM/CS-093, GM/WS-263"
2004-02-29,3,3,"GM/CS-008, GM/CS-025, GM/CS-101"
2004-03-06,7,7,"GM/CS-033, GM/CS-042, GM/CS-063, GM/ES-034, GM/ES-036, GM/SS-075, GM/SS-112"
2004-03-07,3,3,"GM/CS-080, GM/CS-081, GM/CS-100"
2004-03-08,2,2,"GM/CS-079, GM/CS-089"
2004-03-09,4,3,"GM/SS-167, GM/WS-147, GM/WS-202"
2004-03-13,1,1,GM/CS-067
2004-03-21,2,2,"GM/SS-015, GM/SS-039"
2004-03-27,1,1,GM/ES-025
2004-03-28,2,2,"GM/SS-026, GM/SS-036"
2004-04-09,4,4,"GM/CS-017, GM/CS-047, GM/SS-064, GM/WS-138"
2004-04-10,1,1,GM/ES-009
2004-04-11,2,2,"GM/CS-010, GM/CS-041"
2004-04-12,3,3,"GM/CS-031, GM/CS-051, GM/SS-130"
2004-04-18,1,1,GM/CS-043
2004-04-24,4,4,"GM/CS-011, GM/SS-066, GM/SS-278, GM/WS-020"
2004-04-25,4,4,"GM/SS-030, GM/WS-025, GM/WS-059, GM/WS-076"
2004-04-28,1,1,GM/SS-251
2004-04-29,1,1,GM/SS-279
2004-05-01,4,4,"GM/CS-109, GM/ES-009, GM/WS-023, GM/WS-031"
2004-05-02,3,3,"GM/SS-001, GM/SS-002, GM/SS-060"
2004-05-03,2,2,"GM/SS-012, GM/SS-016"
2004-05-08,5,4,"GM/CS-050, GM/SS-064, GM/WS-042, GM/WS-057"
2004-05-09,1,1,GM/CS-113
2004-05-10,2,1,GM/SS-155
2004-05-15,8,8,"GM/CS-003, GM/CS-009, GM/CS-029, GM/CS-044, GM/CS-067, GM/CS-090, GM/CS-104, GM/ES-001"
2004-05-16,5,5,"GM/CS-119, GM/SS-143, GM/SS-145, GM/WS-037, GM/WS-058"
2004-05-22,3,3,"GM/ES-010, GM/ES-017, GM/SS-029"
2004-05-23,5,4,"GM/CS-097, GM/NS-014, GM/NS-020, GM/SS-228"
2004-05-24,2,1,GM/SS-274
2004-05-25,2,1,GM/SS-224
2004-05-26,1,1,GM/CS-101
2004-05-27,2,2,"GM/CS-002, GM/CS-012"
2004-05-28,1,1,GM/CS-034
2004-05-30,8,8,"GM/ES-038, GM/ES-041, GM/SI-209, GM/WS-005, GM/WS-044, GM/WS-072, GM/WS-166, GM/WS-178"
2004-05-31,4,4,"GM/WS-032, GM/WS-042, GM/WS-057, GM/WS-091"
2004-06-02,3,3,"GM/WS-020, GM/WS-037, GM/WS-069"
2004-06-03,1,1,GM/WS-058
2004-06-04,2,2,"GM/WS-198, GM/WS-239"
2004-06-05,5,5,"GM/CS-001, GM/CS-015, GM/CS-030, GM/CS-038, GM/WS-109"
2004-06-06,1,1,GM/WS-015
2004-06-07,4,4,"GM/SI-012, GM/SS-006, GM/SS-016, GM/SS-017"
2004-06-08,1,1,GM/WS-015
2004-06-09,1,1,GM/WS-166
2004-06-12,4,3,"GM/SS-059, GM/WS-001, GM/WS-003"
2004-06-13,8,5,"GM/CS-003, GM/CS-009, GM/CS-029, GM/ES-030, GM/SS-195"
2004-06-17,1,1,GM/WS-296
2004-06-20,3,3,"GM/NS-151, GM/WS-017, GM/WS-019"
2004-06-24,2,2,"GM/SI-153, GM/WS-339"
2004-06-25,1,1,GM/WS-147
2004-06-27,2,2,"GM/WS-074, GM/WS-200"
2004-06-29,1,1,GM/ES-005
2004-07-03,3,3,"GM/CS-095, GM/ES-031, GM/WS-304"
2004-07-04,5,5,"GM/NS-152, GM/WS-002, GM/WS-005, GM/WS-007, GM/WS-021"
2004-07-05,3,2,"GM/SS-127, GM/WS-072"
2004-07-06,2,1,GM/SS-095
2004-07-07,1,1,GM/CS-115
2004-07-10,5,5,"GM/CS-037, GM/WS-001, GM/WS-003, GM/WS-042, GM/WS-057"
2004-07-11,7,7,"GM/WS-061, GM/WS-077, GM/WS-097, GM/WS-110, GM/WS-135, GM/WS-177, GM/WS-253"
2004-07-17,1,1,GM/WS-155
2004-07-18,3,3,"GM/CS-032, GM/CS-066, GM/NS-150"
2004-07-19,2,2,"GM/SS-023, GM/SS-031"
2004-07-21,1,1,GM/SS-021
2004-07-22,1,1,GM/WS-138
2004-07-24,1,1,GM/SS-171
2004-07-25,6,6,"GM/ES-002, GM/ES-003, GM/SI-039, GM/WS-008, GM/WS-012, GM/WS-064"
2004-07-26,1,1,GM/WS-225
2004-07-28,1,1,GM/SS-131
2004-07-30,2,2,"GM/WS-001, GM/WS-003"
2004-07-31,6,6,"GM/CS-012, GM/CS-044, GM/SS-026, GM/SS-036, GM/WS-009, GM/WS-047"
2004-08-01,2,1,GM/WS-337
2004-08-02,2,1,GM/WS-324
2004-08-06,2,2,"GM/WS-091, GM/WS-262"
2004-08-07,13,11,"GM/CS-020, GM/ES-002, GM/ES-003, GM/ES-007, GM/ES-009, GM/NS-127, GM/SS-023, GM/SS-167, GM/WS-081, GM/WS-088, GM/WS-091"
2004-08-08,5,5,"GM/CS-014, GM/CS-036, GM/ES-001, GM/ES-013, GM/SS-177"
2004-08-09,1,1,GM/ES-010
2004-08-12,1,1,GM/WS-130
2004-08-14,6,6,"GM/ES-029, GM/SS-018, GM/SS-027, GM/SS-040, GM/SS-042, GM/WS-074"
2004-08-15,1,1,GM/WS-007
2004-08-21,2,2,"GM/CS-118, GM/ES-007"
2004-08-22,1,1,GM/WS-108
2004-08-27,1,1,GM/WS-339
2004-08-28,4,4,"GM/CS-001, GM/CS-010, GM/WS-023, GM/WS-293"
2004-08-30,2,2,"GM/SS-002, GM/WS-277"
2004-08-31,3,3,"GM/CS-007, GM/CS-013, GM/SS-023"
2004-09-01,1,1,GM/SS-028
2004-09-05,5,5,"GM/NS-002, GM/NS-007, GM/NS-008, GM/SS-062, GM/WS-263"
2004-09-07,2,1,GM/SI-132
2004-09-08,5,3,"GM/CS-016, GM/CS-019, GM/SI-129"
2004-09-11,2,1,GM/NS-086
2004-09-12,2,2,"GM/SS-065, GM/SS-240"
2004-09-15,1,1,GM/SS-028
2004-09-19,2,2,"GM/SS-081, GM/SS-161"
2004-09-22,1,1,GM/SS-280
2004-09-24,1,1,GM/SS-125
2004-09-25,4,4,"GM/CS-011, GM/CS-020, GM/ES-008, GM/SS-018"
2004-10-04,1,1,GM/SI-016
2004-10-07,2,2,"GM/SS-154, GM/SS-198"
2004-10-08,2,2,"GM/SI-017, GM/WS-189"
2004-10-09,6,6,"GM/NS-003, GM/WS-014, GM/WS-018, GM/WS-173, GM/WS-261, GM/WS-280"
2004-10-10,3,3,"GM/SI-029, GM/SI-184, GM/WS-195"
2004-10-11,5,5,"GM/SI-031, GM/SS-052, GM/WS-068, GM/WS-098, GM/WS-211"
2004-10-12,4,4,"GM/WS-028, GM/WS-042, GM/WS-043, GM/WS-057"
2004-10-16,1,1,GM/ES-002
2004-10-17,1,1,GM/WS-172
2004-10-23,2,2,"GM/ES-007, GM/ES-012"
2004-10-30,3,3,"GM/CS-005, GM/SS-272, GM/WS-206"
2004-10-31,3,3,"GM/SS-011, GM/SS-214, GM/SS-254"
2004-11-01,1,1,GM/CS-005
2004-11-07,1,1,GM/WS-339
2004-11-13,3,3,"GM/SS-006, GM/SS-025, GM/WS-175"
2004-11-14,1,1,GM/SS-249
2004-11-19,1,1,GM/SS-064
2004-11-20,4,4,"GM/CS-004, GM/CS-026, GM/CS-039, GM/ES-033"
2004-11-21,1,1,GM/ES-021
2004-11-26,1,1,GM/CS-109
2004-11-28,2,2,"GM/ES-061, GM/WS-194"
2004-12-02,1,1,GM/WS-106
2004-12-04,1,1,GM/ES-022
2004-12-05,2,2,"GM/CS-073, GM/CS-085"
2004-12-10,1,1,GM/WS-058
2004-12-12,2,2,"GM/ES-077, GM/WS-293"
2004-12-19,2,2,"GM/WS-261, GM/WS-280"
2004-12-24,1,1,GM/WS-247
2004-12-26,1,1,GM/ES-061
2004-12-27,1,1,GM/ES-059
2004-12-28,1,1,GM/ES-054
2004-12-30,4,4,"GM/SS-148, GM/WS-081, GM/WS-088, GM/WS-136"
2004-12-31,7,7,"GM/ES-051, GM/ES-057, GM/SS-082, GM/SS-100, GM/WS-136, GM/WS-187, GM/WS-300"
2005-01-02,1,1,GM/ES-078
2005-01-04,2,2,"GM/ES-054, GM/ES-086"
2005-01-22,2,2,"GM/SS-062, GM/SS-072"
2005-01-23,5,5,"GM/CS-050, GM/SS-054, GM/SS-068, GM/SS-080, GM/WS-303"
2005-01-28,1,1,GM/SS-120
2005-01-29,5,5,"GM/WS-023, GM/WS-031, GM/WS-189, GM/WS-234, GM/WS-243"
2005-01-30,3,3,"GM/ES-061, GM/SS-066, GM/WS-146"
2005-02-05,4,4,"GM/ES-040, GM/SS-139, GM/WS-205, GM/WS-251"
2005-02-06,2,2,"GM/ES-062, GM/WS-199"
2005-02-13,1,1,GM/WS-263
2005-02-15,1,1,GM/NS-020
2005-02-17,2,2,"GM/CS-070, GM/NS-107"
2005-02-19,2,2,"GM/SS-075, GM/SS-112"
2005-02-20,2,2,"GM/ES-060, GM/WS-293"
2005-02-26,3,3,"GM/CS-070, GM/CS-093, GM/WS-302"
2005-02-27,4,4,"GM/ES-047, GM/SS-251, GM/WS-165, GM/WS-211"
2005-03-02,1,1,GM/CS-101
2005-03-05,5,5,"GM/CS-055, GM/CS-071, GM/SS-006, GM/SS-016, GM/SS-025"
2005-03-06,5,5,"GM/CS-073, GM/ES-038, GM/SS-090, GM/WS-173, GM/WS-261"
2005-03-07,2,2,"GM/CS-085, GM/SS-059"
2005-03-08,3,3,"GM/SS-064, GM/SS-081, GM/WS-206"
2005-03-10,1,1,GM/SS-046
2005-03-11,1,1,GM/SS-129
2005-03-12,4,4,"GM/SS-011, GM/SS-026, GM/SS-036, GM/SS-074"
2005-03-13,3,3,"GM/SS-155, GM/WS-156, GM/WS-169"
2005-03-19,4,4,"GM/CS-040, GM/CS-058, GM/ES-001, GM/SS-058"
2005-03-20,2,2,"GM/CS-006, GM/CS-018"
2005-03-26,4,4,"GM/ES-026, GM/SS-038, GM/WS-074, GM/WS-200"
2005-03-31,1,1,GM/WS-032
2005-04-02,5,5,"GM/CS-056, GM/SS-001, GM/SS-002, GM/SS-064, GM/SS-259"
2005-04-10,1,1,GM/SS-058
2005-04-11,1,1,GM/SS-239
2005-04-13,1,1,GM/SS-216
2005-04-16,3,3,"GM/ES-029, GM/WS-159, GM/WS-168"
2005-04-17,1,1,GM/WS-198
2005-04-22,4,4,"GM/CS-008, GM/CS-025, GM/SS-274, GM/SS-281"
2005-04-23,5,5,"GM/CS-002, GM/CS-012, GM/CS-044, GM/SS-176, GM/WS-106"
2005-04-24,2,2,"GM/WS-079, GM/WS-096"
2005-04-28,1,1,GM/WS-202
2005-04-29,1,1,GM/ES-012
2005-04-30,3,3,"GM/CS-086, GM/ES-005, GM/ES-006"
2005-05-02,1,1,GM/WS-305
2005-05-03,1,1,GM/CS-030
2005-05-06,2,2,"GM/ES-004, GM/ES-006"
2005-05-07,8,8,"GM/CS-033, GM/CS-042, GM/CS-063, GM/SS-001, GM/SS-106, GM/SS-114, GM/SS-275, GM/SS-277"
2005-05-09,1,1,GM/CS-021
2005-05-10,1,1,GM/NS-025
2005-05-12,3,2,"GM/NS-001, GM/SS-059"
2005-05-14,7,7,"GM/CS-022, GM/CS-028, GM/CS-078, GM/NS-035, GM/WS-017, GM/WS-019, GM/WS-140"
2005-05-15,1,1,GM/WS-061
2005-05-21,2,2,"GM/ES-008, GM/ES-019"
2005-05-22,2,2,"GM/ES-084, GM/NS-063"
2005-05-24,3,3,"GM/WS-005, GM/WS-072, GM/WS-166"
2005-05-26,3,3,"GM/CS-010, GM/CS-015, GM/CS-023"
2005-05-29,1,1,GM/CS-091
2005-05-30,5,4,"GM/SS-037, GM/WS-001, GM/WS-042, GM/WS-057"
2005-05-31,1,1,GM/SS-013
2005-06-03,1,1,GM/SS-148
2005-06-04,2,2,"GM/ES-011, GM/SS-018"
2005-06-05,3,3,"GM/ES-008, GM/ES-039, GM/WS-020"
2005-06-08,2,2,"GM/SS-049, GM/SS-077"
2005-06-11,5,5,"GM/CS-037, GM/NS-001, GM/NS-002, GM/SS-033, GM/WS-342"
2005-06-12,1,1,GM/WS-083
2005-06-14,1,1,GM/SI-028
2005-06-17,1,1,GM/SS-225
2005-06-18,2,1,GM/SS-195
2005-06-21,1,1,GM/SS-094
2005-06-22,2,2,"GM/SS-262, GM/SS-277"
2005-06-25,3,3,"GM/SS-031, GM/SS-263, GM/WS-013"
2005-06-26,5,4,"GM/ES-010, GM/ES-021, GM/ES-027, GM/SS-165"
2005-06-27,1,1,GM/ES-009
2005-06-28,1,1,GM/SS-087
2005-06-30,1,1,GM/WS-108
2005-07-01,4,4,"GM/CS-001, GM/CS-004, GM/CS-026, GM/SS-142"
2005-07-02,1,1,GM/ES-001
2005-07-09,7,7,"GM/CS-003, GM/CS-009, GM/CS-029, GM/SS-132, GM/SS-146, GM/SS-242, GM/WS-339"
2005-07-10,1,1,GM/WS-138
2005-07-12,1,1,GM/WS-007
2005-07-15,2,2,"GM/SS-083, GM/SS-119"
2005-07-16,5,5,"GM/CS-003, GM/CS-009, GM/CS-029, GM/SS-060, GM/SS-133"
2005-07-17,1,1,GM/CS-017
2005-07-21,3,2,"GM/SS-161, GM/WS-022"
2005-07-23,7,7,"GM/CS-011, GM/CS-020, GM/SS-116, GM/WS-025, GM/WS-033, GM/WS-059, GM/WS-094"
2005-07-24,2,2,"GM/SS-177, GM/WS-179"
2005-07-25,2,2,"GM/WS-037, GM/WS-058"
2005-07-28,1,1,GM/WS-002
2005-07-29,1,1,GM/WS-002
2005-07-30,8,8,"GM/WS-011, GM/WS-017, GM/WS-019, GM/WS-023, GM/WS-031, GM/WS-049, GM/WS-087, GM/WS-140"
2005-07-31,1,1,GM/WS-078
2005-08-01,1,1,GM/WS-341
2005-08-02,2,1,GM/SS-171
2005-08-03,1,1,GM/ES-008
2005-08-05,1,1,GM/SS-182
2005-08-06,3,3,"GM/ES-021, GM/WS-015, GM/WS-202"
2005-08-07,3,3,"GM/SS-004, GM/SS-060, GM/SS-091"
2005-08-08,1,1,GM/WS-280
2005-08-11,3,2,"GM/SS-030, GM/SS-212"
2005-08-13,1,1,GM/WS-336
2005-08-14,3,2,"GM/SS-263, GM/WS-003"
2005-08-18,1,1,GM/SS-197
2005-08-19,3,2,"GM/CS-111, GM/ES-027"
2005-08-20,4,4,"GM/CS-001, GM/SS-003, GM/SS-005, GM/SS-009"
2005-08-22,3,3,"GM/SS-001, GM/SS-002, GM/WS-001"
2005-08-25,1,1,GM/SI-012
2005-08-26,3,3,"GM/CS-052, GM/CS-059, GM/SI-059"
2005-08-27,6,6,"GM/CS-022, GM/CS-028, GM/CS-046, GM/CS-061, GM/CS-078, GM/SS-274"
2005-08-28,1,1,GM/SS-033
2005-08-29,4,2,"GM/SS-028, GM/SS-061"
2005-08-30,2,2,"GM/SS-224, GM/WS-021"
2005-09-01,1,1,GM/SS-064
2005-09-02,1,1,GM/WS-069
2005-09-03,6,6,"GM/CS-002, GM/SI-058, GM/SS-065, GM/WS-017, GM/WS-019, GM/WS-044"
2005-09-04,4,3,"GM/ES-051, GM/WS-001, GM/WS-013"
2005-09-05,1,1,GM/WS-194
2005-09-06,2,2,"GM/WS-074, GM/WS-200"
2005-09-08,1,1,GM/SS-056
2005-09-10,3,3,"GM/ES-008, GM/WS-002, GM/WS-129"
2005-09-11,3,3,"GM/CS-049, GM/SS-120, GM/SS-214"
2005-09-12,1,1,GM/SS-056
2005-09-13,1,1,GM/SS-164
2005-09-14,1,1,GM/SS-070
2005-09-16,1,1,GM/SS-123
2005-09-17,2,2,"GM/CS-123, GM/ES-015"
2005-09-18,1,1,GM/SS-239
2005-09-20,1,1,GM/SI-105
2005-09-24,3,3,"GM/CS-039, GM/CS-043, GM/ES-009"
2005-10-02,1,1,GM/WS-106
2005-10-08,2,2,"GM/CS-065, GM/CS-094"
2005-10-09,1,1,GM/ES-034
2005-10-13,1,1,GM/SI-034
2005-10-14,2,2,"GM/WS-095, GM/WS-103"
2005-10-15,3,2,"GM/ES-024, GM/ES-031"
2005-10-16,1,1,GM/SI-040
2005-10-17,2,2,"GM/SI-055, GM/SI-061"
2005-10-19,1,1,GM/ES-086
2005-10-22,4,4,"GM/CS-001, GM/CS-010, GM/CS-035, GM/CS-079"
2005-10-23,1,1,GM/ES-033
2005-10-26,1,1,GM/SS-216
2005-10-29,3,3,"GM/CS-070, GM/ES-028, GM/ES-037"
2005-10-30,1,1,GM/CS-121
2005-10-31,2,2,"GM/SS-082, GM/SS-100"
2005-11-06,2,1,GM/ES-014
2005-11-09,2,2,"GM/CS-004, GM/CS-026"
2005-11-11,1,1,GM/SI-028
2005-11-13,1,1,GM/WS-262
2005-11-15,1,1,GM/SI-104
2005-11-16,1,1,GM/SS-236
2005-11-18,1,1,GM/CS-044
2005-11-19,4,4,"GM/CS-039, GM/CS-043, GM/SS-055, GM/WS-177"
2005-11-20,1,1,GM/WS-147
2005-11-23,1,1,GM/SS-225
2005-11-27,2,2,"GM/ES-016, GM/SS-223"
2005-11-28,1,1,GM/SS-172
2005-12-03,1,1,GM/WS-145
2005-12-04,2,2,"GM/SS-238, GM/WS-201"
2005-12-05,1,1,GM/CS-104
2005-12-06,3,2,"GM/ES-049, GM/SI-039"
2005-12-08,3,3,"GM/CS-012, GM/SS-203, GM/SS-209"
2005-12-10,1,1,GM/CS-060
2005-12-12,3,3,"GM/CS-033, GM/CS-042, GM/CS-063"
2005-12-13,1,1,GM/SI-015
2005-12-17,1,1,GM/SS-020
2005-12-19,2,2,"GM/CS-070, GM/SS-130"
2005-12-21,1,1,GM/CS-036
2005-12-24,4,4,"GM/CS-037, GM/CS-088, GM/SS-135, GM/SS-152"
2005-12-26,3,3,"GM/CS-056, GM/ES-036, GM/SS-147"
2005-12-27,2,2,"GM/ES-039, GM/ES-061"
2005-12-28,3,3,"GM/ES-027, GM/SS-104, GM/SS-105"
2005-12-29,2,2,"GM/CS-101, GM/SS-076"
2005-12-31,1,1,GM/CS-104
2006-01-01,2,2,"GM/SS-064, GM/WS-263"
2006-01-03,3,3,"GM/CS-093, GM/ES-053, GM/ES-054"
2006-01-04,3,3,"GM/SS-129, GM/SS-148, GM/SS-163"
2006-01-07,8,8,"GM/CS-054, GM/CS-075, GM/ES-021, GM/ES-051, GM/ES-057, GM/SS-054, GM/SS-068, GM/SS-080"
2006-01-14,4,4,"GM/SS-069, GM/WS-187, GM/WS-228, GM/WS-244"
2006-01-15,3,3,"GM/ES-031, GM/ES-033, GM/SS-214"
2006-01-21,2,2,"GM/ES-052, GM/WS-199"
2006-01-28,6,6,"GM/SS-062, GM/SS-125, GM/WS-150, GM/WS-192, GM/WS-249, GM/WS-314"
2006-01-29,6,6,"GM/ES-018, GM/SS-041, GM/SS-042, GM/SS-111, GM/SS-262, GM/WS-302"
2006-01-31,2,2,"GM/SS-263, GM/WS-099"
2006-02-01,2,2,"GM/SS-280, GM/WS-175"
2006-02-02,3,3,"GM/SS-043, GM/SS-078, GM/WS-032"
2006-02-04,5,5,"GM/CS-088, GM/SI-141, GM/SS-038, GM/SS-108, GM/WS-153"
2006-02-05,2,2,"GM/WS-146, GM/WS-303"
2006-02-08,3,3,"GM/SS-154, GM/SS-198, GM/WS-293"
2006-02-09,1,1,GM/WS-206
2006-02-10,2,2,"GM/WS-001, GM/WS-190"
2006-02-11,4,4,"GM/ES-034, GM/ES-036, GM/SS-028, GM/SS-134"
